138.777;152.7822;160.0;158.99999999999997;154.71;147.42;139.6274;135.0526;132.1196;129.8296;121.32700000000001;110.4714;108.3258;110.47019999999999;109.8272;106.8272;105.97160000000001;106.11600000000001;101.5452;97.83520000000001;97.33779999999999;90.9126;87.2708;89.7734;91.919;99.42159999999998;114.56719999999999;131.0698;138.49899999999997;133.7116;121.4216|0
121.4216;104.91899999999998;93.2708;92.4834;93.9126;96.4152;93.91779999999999;91.9952;95.1408;103.14079999999998;114.6434;127.146;137.0016|1
137.0016;140.0016;137.2916;134.2916;132.29160000000002;131.2916;131.8572;134.85719999999998;132.499;126.499;114.71159999999998;108.42159999999998;104.4216;104.0634;104.0634;102.91779999999999;99.9178;94.9178;96.9178;97.2078;98.99520000000001;107.566;122.14079999999998;132.499;133.0016;130.0016;130.8572;129.8572;130.0698;127.06979999999999;121.7116|0
121.7116;119.4216;116.4216;112.06339999999999;103.9178;96.4152;89.55959999999999;87.061;90.2054;92.1372;90.20939999999999;86.7842;88.7842;90.2868;90.5046;90.00720000000001;89.36540000000001;90.6554;98.511;109.86919999999999;128.087;137.4452;140.6578;143.6578;140.36780000000002;131.36780000000002|0
131.36780000000002;125.86519999999999;115.8652;100.7196;94.7196;96.28920000000001;99.43359999999998;95.4336;93.8628;97.8628;100.3654;93.4428;105.7328;118.73799999999999;123.31280000000001;124.8154;123.961;122.961;124.1054;115.8154;111.3128;107.3128|0
107.3128;100.16720000000001;89.1672;82.2394;81.52940000000001;81.9586;79.95739999999999;75.2474;72.2474;75.6056;84.6056;95.60560000000001;104.46119999999999;109.46119999999999;110.3168;103.9598;96.45719999999999;88.738;80.2354;77.7328;78.7328;77.7328|0
77.7328;77.2354;83.738;91.3128;104.10539999999999;118.89280000000001;126.39540000000001;125.3954;123.8928;121.96100000000001;120.88359999999999;118.59359999999998;115.09100000000001;112.30359999999999|0
112.30359999999999;106.1592;100.1592;97.0136;94.08460000000001;92.1568;88.15679999999999;84.65939999999999;82.5872;82.8772;88.73679999999999;98.23939999999999;103.9586;107.95859999999999;107.6056;108.6056;99.03479999999999;84.107;80.25139999999999;78.9706;74.04679999999999;70.54939999999999|0
70.54939999999999;69.1242;66.9168;64.4194;76.2068;109.4968;137.2068;144.41939999999997;138.41939999999997;138.9168;142.6268;133.1242;116.12420000000002;102.12419999999999;94.12419999999999;88.1964;82.19639999999998;74.699|1
74.699;73.98899999999999;77.77640000000001;78.7764;83.92079999999999;91.9208;108.41819999999998;120.4182;116.4182;95.41819999999998;76.9208;71.4234;75.42339999999999;83.6452;97.0166;113.16099999999999;135.3684;148.291;143.4984;128.5666;109.5666;93.997|1
93.997;98.07440000000001;98.22;98.5782;110.14899999999999;136.149;156.5742;163.3524;162.7776|0
162.7776;160.7724;162.0532;152.2606;133.3288;110.3288;91.5506;84.9168;90.6452;107.16099999999999;110.31859999999999;113.90660000000001;153.1324;198.85559999999998;0.0;0.0;0.0;0.0|0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0|0
81.6164;80.32639999999999;93.3264;111.539;124.1768;129.1006;128.1688;128.1688;128.1688;129.1688;129.1688;126.8788;125.8788;117.8788;114.7344;122.7344|0
122.7344;125.73440000000001;123.7344;139.3774;142.947;123.1556;122.2828;119.9166;115.83919999999999;112.9796;110.54520000000001;109.7578;108.6134;108.6134;116.11599999999999;119.6908;116.3378;110.3378;109.767;110.767;111.83919999999998;113.83919999999999;121.98360000000001;121.98360000000001;123.8392;125.83919999999999;128.767;133.3378;136.9126;139.4834;143.48340000000002;144.4834;144.27079999999998;141.27079999999998;135.2708;132.2708;136.2708;143.9178;148.70919999999998;151.641;152.641;151.931;154.4336;156.22099999999998;153.22099999999998;149.511;145.511;147.0136;148.511;152.0136;152.511;152.0136;149.511;148.511;147.7918;148.28920000000002;150.2892;150.2892;145.7866;137.7866;134.2118;133.2118;138.7092;137.70919999999998;139.637;142.637;142.637;137.63699999999997;136.1396;137.1396;134.2118;144.21179999999998;150.7866;149.7866;151.2892;154.28920000000002;154.28920000000002;150.2892;146.7918;146.7918;145.2892;144.2892;144.2892;142.2892;140.2892;139.2892;144.2892;144.2892;148.28920000000002;149.2892;147.21699999999998;148.217;152.217;151.21699999999998;154.7878;157.7878;159.7878;158.14079999999998;159.14079999999998;161.1408;161.1408;160.14079999999998;150.0634;145.919;140.91899999999998;138.91899999999998;139.3442;140.3442;139.7734;139.7734;139.4152;137.9178;137.5596;140.06220000000002;139.4192;136.4192;132.8536;131.8536;133.78539999999998;137.50459999999998;139.50459999999998;137.50459999999998;135.5768;134.0794;130.50859999999997;126.0112;132.73039999999997;130.3774;128.1688;129.1006;134.7476;137.4668|0
137.4668;134.539;128.4708;126.837;137.6966;143.6966;140.6244;143.6244;151.9144;151.62439999999998;143.9144;144.62439999999998;145.1952;147.19519999999997;150.5482;154.5482;152.54819999999998;145.54819999999998;138.32639999999998;141.17680000000001;142.7424;143.59799999999998;141.87879999999998;140.3774;139.7304;140.01119999999997;139.0794;139.0072;142.07539999999997;138.5046;128.0754;120.5046;124.5046;133.50459999999998;139.50459999999998;140.72119999999998;140.5086;138.7212;138.5768;144.9298;151.78539999999998;149.7854;143.641;142.2118;141.1396;143.28519999999997;149.64339999999999;155.146;159.0016;164.2916;169.7942;168.369;165.8716;162.369;162.369;162.369;158.369;150.7942;143.7942;137.7208;134.7208;130.14600000000002;125.14599999999999;120.6434;118.6434;117.6434;117.71959999999999;116.22099999999999;118.65539999999999;121.58719999999998;122.58720000000001;121.8772;119.8772;119.37979999999999;118.3798;123.23939999999999;123.52940000000001;126.52939999999998;131.3168;135.3168;136.60680000000002;135.3168;133.4612;130.6056;121.6056|0
